sample_num|geopandas_times|duckdb_times|result
130000|5.36929726600647|5.655421495437622|duckdb win
131000|5.008363246917725|5.275753736495972|duckdb win
132000|5.243128299713135|5.507027864456177|duckdb win
133000|5.07251238822937|5.578186511993408|duckdb win
134000|5.092448472976685|5.647048234939575|duckdb win
135000|5.6028594970703125|4.9444732666015625|geopandas win
136000|5.57862401008606|5.599738121032715|duckdb win
137000|5.581678628921509|5.729684829711914|duckdb win
138000|5.636826276779175|5.192222833633423|geopandas win
139000|5.635059833526611|5.916824579238892|duckdb win
140000|5.922000408172607|5.372244596481323|geopandas win
141000|5.854536056518555|5.8346946239471436|geopandas win
142000|5.22937273979187|5.827462196350098|duckdb win
143000|5.953146696090698|5.309218168258667|geopandas win
144000|5.7660534381866455|5.44501519203186|geopandas win
145000|5.929616928100586|6.002010822296143|duckdb win
146000|6.139477014541626|5.525610685348511|geopandas win
147000|6.104017496109009|6.015270709991455|geopandas win
148000|5.642518997192383|6.0875983238220215|duckdb win
149000|6.487346172332764|5.493931531906128|geopandas win
150000|6.056874990463257|6.047689199447632|geopandas win
